Sensor_ID,Baseline_Resistance_Ohms
0,21189.98
1,33403.16
2,39165.01
3,36632.99
4,36901.41
5,39463.38
6,40256.3
7,40256.3
8,40194.41
9,39826.22
10,40380.55
11,40256.3
12,40132.67
13,40071.08
14,41075.0
15,39523.48
16,40630.89
17,42253.52
18,43557.83
19,42726.61
20,44126.66
21,45907.83
22,40883.72
23,45678.82
24,41139.08
25,40820.27
26,41920.75
27,43277.87
28,41657.55
29,41788.82
30,41592.18
31,43277.87
32,121157.05
33,41526.96
34,44707.67
35,42186.62
36,42253.52
37,46527.84
38,48980.34
39,51935.61
40,142142.66
41,57802.03
42,112143.66
43,43417.48
44,99687.32
45,192647.28
46,83177.96
47,83177.96
48,104608.9
49,114373.48
50,129670.22
51,125954.73
52,128253.38
53,130631.02
54,125954.73
55,125504.14
56,135123.23
57,129670.22
58,121579.19
59,130631.02
60,130631.02
61,119906.74
62,133594.3
63,127787.46
64,121579.19
65,132592.78
66,137213.13
67,134100.34
68,145026.52
69,145616.44
70,128253.38
71,138820.45
72,123295.2
73,123295.2
74,127787.46
75,132592.78
76,126864.97
77,127787.46
78,123295.2
79,134100.34
80,325612.69
81,134100.34
82,136685.03
83,133594.3
84,132592.78
85,145026.52
86,147413.47
87,155036.28
88,379970.25
89,135123.23
90,322883.13
91,130148.98
92,175214.38
93,362238.63
94,226638.0
95,226638.0
96,73466.84
97,78725.33
98,82127.26
99,82335.49
100,82754.82
101,86251.47
102,84035.92
103,84909.8
104,82965.91
105,81303.56
106,85352.86
107,85800.06
108,82965.91
109,84689.81
110,83819.96
111,83390.98
112,78341.52
113,85800.06
114,88336.55
115,85800.06
116,90513.82
117,95170.63
118,84035.92
119,89534.38
120,79503.01
121,85800.06
122,81919.95
123,88336.55
124,82754.82
125,83819.96
126,82965.91
127,86025.24
128,226638.0
129,86025.24
130,90513.82
131,86936.61
132,89534.38
133,91512.71
134,97381.57
135,100279.32
136,250766.73
137,91261.14
138,208912.44
139,86707.14
140,152414.69
141,280371.47
142,153062.25
143,153062.25
144,40442.9
145,40132.67
146,41203.32
147,41139.08
148,38695.02
149,40318.35
150,38521.08
151,40132.67
152,38636.91
153,38695.02
154,39523.48
155,38636.91
156,39644.14
157,38695.02
158,39523.48
159,38811.68
160,23366.42
161,39343.6
162,41526.96
163,37558.35
164,43417.48
165,45301.25
166,39887.21
167,44488.33
168,39224.4
169,40630.89
170,39644.14
171,40630.89
172,40505.41
173,40756.99
174,41723.1
175,41788.82
176,119086.36
177,41332.29
178,42726.61
179,40505.41
180,42320.58
181,45754.95
182,47322.41
183,50110.29
184,138820.45
185,51654.79
186,102094.18
187,41397.01
188,94632.04
189,179504.63
190,79503.01
191,79503.01
192,26122.79
193,25094.26
194,26187.06
195,26187.06
196,24382.16
197,25585.55
198,24151.15
199,24704.93
200,24324.12
201,24151.15
202,24237.42
