Sensor_ID,Baseline_Resistance_Ohms
0,24616.31
1,38636.91
2,55939.52
3,51100.71
4,39523.48
5,54787.84
6,56046.25
7,55621.39
8,56585.1
9,55939.52
10,58255.64
11,57802.03
12,59653.54
13,58715.34
14,59534.86
15,58715.34
16,58028.08
17,58599.84
18,62114.86
19,65726.85
20,60132.29
21,61860.94
22,59416.6
23,62628.1
24,59892.09
25,59892.09
26,63411.8
27,64756.17
28,60374.14
29,59416.6
30,60011.99
31,65586.65
32,61734.65
33,61734.65
34,63148.7
35,62370.57
36,64212.57
37,65307.78
38,167191.02
39,93048.8
40,175214.38
41,89051.75
42,61608.8
43,61608.8
44,232241.86
45,278325.69
46,79503.01
47,105581.22
48,143859.97
49,132097.22
50,173552.13
51,170315.53
52,162702.02
53,176056.81
54,170315.53
55,170315.53
56,166426.73
57,164917.73
58,167191.02
59,164917.73
60,173552.13
61,168739.63
62,170315.53
63,168739.63
64,155704.97
65,170315.53
66,180386.63
67,187749.41
68,178630.77
69,180386.63
70,171919.44
71,178630.77
72,170315.53
73,175214.38
74,180386.63
75,187749.41
76,176056.81
77,169524.13
78,175214.38
79,191648.39
80,182175.47
81,182175.47
82,182175.47
83,178630.77
84,188709.95
85,185855.86
86,295546.66
87,261133.28
88,399475.0
89,164917.73
90,182175.47
91,182175.47
92,536008.31
93,672541.69
94,191648.39
95,247485.06
96,96820.16
97,99982.53
98,101482.63
99,102712.45
100,94098.91
101,99687.32
102,95170.63
103,96820.16
104,93048.8
105,93309.35
106,93571.2
107,90513.82
108,95170.63
109,94632.04
110,94364.8
111,94098.91
112,84035.92
113,95170.63
114,99687.32
115,105255.28
116,99101.66
117,102712.45
118,95170.63
119,100279.32
120,97381.57
121,98522.22
122,102094.18
123,105255.28
124,99687.32
125,97948.88
126,100279.32
127,108599.64
128,103337.61
129,103337.61
130,104288.4
131,102402.48
132,107238.9
133,107576.14
134,182175.47
135,151772.23
136,254133.06
137,99687.32
138,103969.71
139,103969.71
140,339960.47
141,403612.41
142,125056.52
143,151772.23
144,52987.48
145,57802.03
146,51654.79
147,53975.16
148,48139.58
149,49670.62
150,48222.58
151,48305.81
152,46371.55
153,47241.95
154,45984.59
155,43557.83
156,48139.58
157,47322.41
158,46216.13
159,47161.71
160,33918.01
161,46138.74
162,49845.72
163,50377.22
164,49845.72
165,50918.22
166,47081.7
167,51100.71
168,48641.14
169,49065.75
170,51561.75
171,53182.58
172,50199.01
173,49065.75
174,50287.98
175,54994.24
176,51284.3
177,51284.3
178,52600.88
179,51654.79
180,53975.16
181,54787.84
182,109992.31
183,77961.02
184,142142.66
185,58369.98
186,51376.5
187,51376.5
188,187749.41
189,230816.17
190,65586.65
191,81919.95
192,42455.23
193,46061.56
194,40256.3
195,42186.62
196,37447.59
197,38463.37
