Sensor_ID,Baseline_Resistance_Ohms
0,24794.01
1,37781.43
2,55621.39
3,51468.98
4,39403.42
5,55833.13
6,56585.1
7,55939.52
8,56368.51
9,56260.74
10,58484.71
11,57689.57
12,59892.09
13,60253.01
14,59892.09
15,59181.26
16,57577.48
17,58715.34
18,60132.29
19,65586.65
20,60374.14
21,61734.65
22,59416.6
23,61608.8
24,59416.6
25,60374.14
26,63676.8
27,66008.82
28,61233.89
29,59653.54
30,60617.66
31,67012.48
32,62114.86
33,62114.86
34,64483.38
35,63676.8
36,65307.78
37,75565.37
38,164172.88
39,110700.96
40,349173.25
41,80095.27
42,64483.38
43,64483.38
44,266631.75
45,331208.34
46,88812.2
47,109992.31
48,164172.88
49,145616.44
50,197793.8
51,193656.09
52,187749.41
53,208912.44
54,195704.14
55,197793.8
56,191648.39
57,191648.39
58,195704.14
59,193656.09
60,204325.27
61,203208.34
62,206594.58
63,194675.0
64,183998.22
65,204325.27
66,211280.41
67,223932.14
68,207747.34
69,216173.34
70,206594.58
71,211280.41
72,194675.0
73,206594.58
74,216173.34
75,225277.3
76,208912.44
77,197793.8
78,208912.44
79,229407.17
80,218701.81
81,218701.81
82,217430.56
83,213700.14
84,223932.14
85,245875.0
86,334076.69
87,358884.03
88,965113.19
89,206594.58
90,223932.14
91,223932.14
92,734602.25
93,708471.5
94,235144.47
95,295546.66
96,99393.72
97,99982.53
98,102094.18
99,102712.45
100,93571.2
101,101482.63
102,94632.04
103,94632.04
104,90267.15
105,93048.8
106,92531.65
107,91010.8
108,94098.91
109,94098.91
110,97381.57
111,94632.04
112,86707.14
113,97381.57
114,99101.66
115,105581.22
116,99101.66
117,102712.45
118,94098.91
119,99687.32
120,93309.35
121,98522.22
122,103337.61
123,104931.19
124,98234.78
125,95170.63
126,99687.32
127,109291.9
128,102712.45
129,102712.45
130,104608.9
131,103337.61
132,107576.14
133,121157.05
134,160541.67
135,182175.47
136,521823.06
137,100577.7
138,106570.16
139,106570.16
140,403612.41
141,403612.41
142,134609.98
143,155704.97
144,56046.25
145,59534.86
146,54890.87
147,57243.42
148,50199.01
149,54277.52
150,50199.01
151,50466.71
152,47646.51
153,49496.55
154,48139.58
155,46527.84
156,49758.04
157,49151.41
158,48980.34
159,48980.34
160,34445.18
161,48389.29
162,51284.3
163,52124.24
164,51841.71
165,52793.59
166,48980.34
167,52029.78
168,49670.62
169,51468.98
170,54277.52
171,56260.74
172,52029.78
