Sensor_ID,Row,Col,Press_Count,Max_Pressure,Avg_Pressure,Avg_Resistance_Ohms,Min_Resistance_Ohms,Max_Resistance_Ohms,Baseline_Resistance_Ohms
720,15,0,22,1.0,0.6339155414127334,13149.54090909091,12467.39,13870.31,20396.61
672,14,0,21,0.8244286434045268,0.5873820292950344,13080.97238095238,12617.92,13619.93,19794.65
721,15,1,22,0.9140311348587772,0.5882842411050676,13084.691363636364,12643.21,13814.22,19491.78
825,17,9,23,0.945901109775088,0.7272935832855658,14093.406086956524,12643.21,19153.06,26544.65
820,17,4,22,0.9172058111174896,0.7377090306785071,13887.45318181818,12643.21,18103.81,26090.74
873,18,9,22,0.9031779014245876,0.6758206842084534,14541.160909090908,12643.21,20648.86,26026.81
818,17,2,22,0.8850893391488452,0.7094465372795647,13962.80090909091,12668.54,19174.0,25276.9
819,17,3,23,0.9534267937983308,0.7558244945527826,14096.973478260868,12668.54,20834.94,26643.4
822,17,6,23,0.928844003412283,0.7139823800692192,14098.322608695655,12668.54,19577.68,26090.74
872,18,8,22,0.8990013755957847,0.6659557647130007,14708.105454545452,12668.54,20858.36,26219.28
817,17,1,24,0.9729871175063215,0.7774753660132868,14168.059583333334,12744.91,20170.86,27077.54
829,17,13,23,0.93273581679411,0.6862843532147246,14370.26695652174,12744.91,20881.81,26090.74
867,18,3,22,0.8904346339967031,0.687751349259583,14497.007272727275,12744.91,18398.68,25994.93
816,17,0,24,1.0,0.791434997509754,14384.492916666664,12744.91,22721.83,27977.33
722,15,2,37,0.994530960784133,0.5772234507025181,15068.490540540544,12744.91,19926.36,25154.93
870,18,6,22,0.8870308033363689,0.6650939863670116,14535.448181818181,12757.68,20556.65,25710.52
626,13,2,30,0.8985979117603597,0.5734680987291859,14345.285666666667,12757.68,17872.27,22880.64
628,13,4,28,0.889946522598507,0.6000497443564006,14077.395357142856,12757.68,17757.91,22880.64
675,14,3,28,0.9234650845976926,0.614022891555213,13874.532142857144,12770.47,17236.39,22382.94
723,15,3,36,1.0,0.5895286329007914,14882.765833333335,12770.47,19491.78,24586.87
865,18,1,22,0.9256593377111516,0.723000964517924,14435.873636363634,12770.47,18123.28,26942.87
824,17,8,23,0.9451060373158312,0.7268956801078513,14255.924782608694,12770.47,19194.97,27111.36
868,18,4,22,0.8921030513747689,0.6852794483707423,14618.61681818182,12783.28,21213.94,26544.65
633,13,9,26,0.768240697077163,0.5551668709287829,13594.618461538463,12783.28,16047.52,21118.33
774,16,6,29,0.8266937511274204,0.5704260263781321,14574.77,12783.28,18458.39,23642.52
864,18,0,22,0.9647672856213154,0.7514308689560184,14473.696818181816,12783.28,19258.07,27906.57
726,15,6,34,0.895985376286097,0.5674120879813107,14452.359117647058,12783.28,17606.89,23642.52
871,18,7,21,0.8228921056633816,0.646808045693238,14322.944285714286,12796.1,18740.4,24704.93
724,15,4,36,0.9714546794206593,0.5849881529378824,15065.379444444445,12796.1,19751.0,25307.53
769,16,1,29,0.9763497609318523,0.6426975648080073,14703.266206896553,12796.1,19111.26,24645.8
673,14,1,20,0.6632688483387253,0.5121591979552333,13031.988500000001,12796.1,13510.31,18538.4
625,13,1,24,0.8386737448283003,0.6274999159778062,13650.185,12796.1,17072.88,22126.97
630,13,6,27,0.8340456701745564,0.5755659328640371,13805.587037037038,12796.1,16769.29,21975.31
823,17,7,22,0.8859323188845292,0.7125515061988343,13937.075909090909,12796.1,17309.7,25585.55
674,14,2,31,0.9189028722801224,0.5777072599816793,14295.769677419356,12796.1,17588.13,22933.92
866,18,2,21,0.841138705501058,0.6630264725215538,14330.202857142855,12796.1,17795.93,25094.26
627,13,3,28,0.8754930928436883,0.5918758050638819,14218.53857142857,12808.93,17720.0,22774.6
729,15,9,37,0.9016995753744388,0.547761187954727,14741.390270270273,12808.93,18822.0,23923.21
768,16,0,24,0.9906581562801372,0.7532756442848855,14036.932916666667,12808.93,20464.99,25710.52
771,16,3,32,0.9427712014683562,0.6047131597631084,15301.4546875,12821.78,20764.89,25804.82
772,16,4,29,0.8905974559053939,0.6139579481060851,14843.764827586205,12821.78,20059.23,25185.35
624,13,0,22,0.9015983159222588,0.7082197319538464,13411.665454545455,12821.78,15864.85,23257.23
578,12,2,85,0.83457345217709,0.3732478526829613,16027.281294117649,12821.78,17910.59,22960.62
580,12,4,87,0.8610047941464551,0.3796939181508977,16083.11344827586,12821.78,18201.42,23202.91
629,13,5,32,0.8813848594950245,0.5540794829842264,14551.9121875,12821.78,17872.27,22960.62
631,13,7,27,0.8343738002091199,0.5793112223521691,13848.983703703703,12821.78,16982.88,22126.97
1662,34,30,2,0.5117740413438013,0.45987487980917985,13166.045,12821.78,13510.31,18659.26
678,14,6,25,0.8037976330430269,0.5906856122627239,13531.2284,12834.64,15815.47,21651.57
827,17,11,23,0.9188394274897989,0.701144841262815,14337.994782608695,12834.64,19153.06,26544.65
632,13,8,28,0.7952522838829247,0.5507845865315721,13960.814285714285,12834.64,16769.29,21900.02
676,14,4,31,0.8986606017713927,0.5757837368504413,14332.487741935485,12834.64,17949.02,23040.99
582,12,6,79,0.81591766828654,0.3819653636463313,15637.312531645563,12834.64,17346.5,22408.76
731,15,11,38,0.9406658700273751,0.5679207168024216,14916.330000000004,12834.64,19153.06,25094.26
821,17,5,22,0.8986372691786818,0.720972386894808,14067.893636363639,12834.64,19215.97,26058.75
875,18,11,22,0.897282967284136,0.6639785870019992,14808.718636363634,12847.52,21023.29,26479.11
635,13,11,26,0.7742654194333481,0.5526909997686269,13738.685000000001,12847.52,16081.01,21553.27
727,15,7,35,0.884705887086031,0.5612470357669358,14581.799142857144,12847.52,18618.86,23754.24
877,18,13,21,0.8811563600687259,0.670080991719601,14567.72,12847.52,20928.83,26251.55
777,16,9,31,0.857393184944499,0.5707218592397524,14872.398064516128,12847.52,19028.03,24557.47
770,16,2,31,0.9152417674582037,0.5952545672732759,15200.355483870966,12847.52,20014.81,25647.93
681,14,9,27,0.7755920404097095,0.5481268401782868,13684.772222222224,12847.52,16131.41,21166.06
585,12,9,67,0.7704947015073672,0.3885849676768149,15182.227164179107,12847.52,16455.14,21553.27
728,15,8,38,0.9499744342577318,0.5779012448255977,14996.576315789478,12847.52,19153.06,25585.55
1665,34,33,3,0.4925761291855413,0.4393326856008899,12999.356666666667,12847.52,13108.13,18398.68
605,12,29,25,0.559781988851496,0.3946589991724138,13837.093200000001,12847.52,14357.96,19534.67
1369,28,25,24,0.7491312626553084,0.601188392056755,14196.609583333333,12847.52,18578.57,30794.08
584,12,8,75,0.7777832676685509,0.377765620588465,15399.42413333333,12860.41,16857.87,21900.02
680,14,8,34,0.851379289815685,0.5371052994166298,14461.67911764706,12873.32,17309.7,22880.64
775,16,7,30,0.8490049085631303,0.5787324409157008,14771.809000000001,12873.32,19321.44,24382.16
733,15,13,38,0.9183543595689837,0.5628017822617254,15020.940263157894,12873.32,19794.65,25276.9
1666,34,34,60,0.7762297984986148,0.4428195693273536,15563.18883333333,12873.32,18822.0,24586.87
781,16,13,31,0.8925522132290858,0.5820140355437314,15000.449354838709,12873.32,19751.0,25461.45
579,12,3,90,0.8478553854824356,0.37002107099184356,16273.353888888887,12873.32,18339.21,23366.42
587,12,11,82,0.8010148648189164,0.3836551401262129,15529.095975609755,12873.32,17236.39,22408.76
683,14,11,34,0.8309005654654208,0.5232002731600816,14424.999705882354,12873.32,17018.8,22512.45
583,12,7,83,0.8041268956444372,0.3768212962227446,15666.381325301203,12886.24,17272.99,22408.76
826,17,10,23,0.8857961972589758,0.669847892774725,14382.996956521738,12886.24,19321.44,25679.2
677,14,5,33,0.9059168878128543,0.5649180896463174,14503.215757575757,12886.24,18162.29,23339.05
685,14,13,34,0.8113063915413469,0.5069267622235147,14442.36823529412,12886.24,17218.13,22357.16
1307,27,11,33,0.8340005337312651,0.5711433971237161,25049.173030303034,12899.17,51192.37,56476.62
725,15,5,38,0.9840207481624331,0.5816940055203268,15216.54,12899.17,20741.61,25836.37
581,12,5,90,0.8322491489834477,0.37428252724223654,16053.669777777775,12899.17,17987.56,23094.79
679,14,7,30,0.8166637663354869,0.5454283557657853,14045.946999999998,12899.17,16698.84,21900.02
637,13,13,27,0.7483922378822008,0.5249731864700796,13871.922222222222,12899.17,16131.41,21358.47
779,16,11,32,0.8700324234368106,0.566651316923425,15090.479374999999,12899.17,19577.68,25094.26
776,16,8,32,0.8841033810665941,0.5788826535885333,15162.485625,12899.17,19926.36,25585.55
773,16,5,32,0.9069248273285015,0.5866903623811468,15338.3975,12899.17,20625.75,25836.37
1309,27,13,34,0.8503359574360202,0.5652852252222429,26210.53264705882,12912.12,52793.59,58715.34
682,14,10,33,0.814617276076262,0.5199928954964056,14382.879090909091,12912.12,17218.13,22460.52
869,18,5,21,0.8707737193914948,0.6942915480018653,14456.635238095236,12912.12,18498.34,26479.11
530,11,2,110,0.9017382050627554,0.3998329476231099,16430.910363636365,12912.12,19534.67,24853.65
577,12,1,78,0.8264050721560139,0.3588791979289132,16339.894871794872,12912.12,17968.28,23014.16
604,12,28,80,0.6808060545575799,0.3873412493080283,14886.982500000002,12938.06,16628.76,21651.57
606,12,30,61,0.6115752066730024,0.3639056038774608,14413.845901639343,12938.06,15363.49,20396.61
634,13,10,26,0.7564593982903699,0.5417776647697609,13768.048076923076,12951.06,16182.0,21406.95
589,12,13,55,0.7531705963898075,0.4003952106983833,15146.251272727271,12951.06,16663.75,21676.24
874,18,10,21,0.8750459450119639,0.6632121389019409,14584.157142857142,12951.06,20975.98,26090.74
684,14,12,27,0.716264126734552,0.5102037720624613,13895.717037037039,12951.06,16014.12,21023.29
1368,28,24,24,0.7549505861799186,0.6113875676471948,14485.0625,12951.06,18418.55,33127.38
603,12,27,89,0.731403176750265,0.3763124958418035,15850.266629213484,12951.06,18221.02,23230.05
586,12,10,81,0.7797099866146628,0.3761028320526459,15520.626543209877,12951.06,17199.88,22203.33
730,15,10,38,0.9058526208203131,0.5524904901976154,14972.365263157895,12951.06,19069.58,24794.01
532,11,4,111,0.980661801045812,0.44058619607010163,16715.51243243243,12951.06,21406.95,26875.9
1306,27,10,32,0.8415766847862678,0.5914723049243286,24209.501875,12951.06,51561.75,56693.92
1354,28,10,24,0.6534863717030026,0.5737960252044171,14902.927916666667,12964.06,21118.33,32408.75
1364,28,20,24,0.776359014191833,0.5764349368789833,15267.450833333334,12964.06,22616.81,33776.39
1308,27,12,28,0.8421191755567923,0.6530721156454976,20971.23107142857,12964.06,52218.99,57802.03
576,12,0,73,0.8787397625042939,0.3533130509325467,17265.92410958904,12964.06,19237.01,24237.42
1321,27,25,23,0.9680579609688242,0.7696032130103838,14832.80826086957,12977.09,22203.33,52218.99
1366,28,22,24,0.7948838835784503,0.6338484463485373,14541.391666666668,12977.09,21213.94,34348.4
1357,28,13,24,0.67699119705862,0.5946671315712369,14950.827916666667,12977.09,21261.97,34060.55
1356,28,12,24,0.6685015884087571,0.5791895169528686,15031.579166666668,12977.09,21553.27,33310.84
778,16,10,32,0.8559775606267486,0.5558410747543462,15125.565,12977.09,19685.77,24853.65
