Sensor_ID,Baseline_Resistance_Ohms
0,22564.54
1,32945.45
2,56368.51
3,52793.59
4,43769.74
5,60374.14
6,61608.8
7,61358.41
8,61734.65
9,61608.8
10,64483.38
11,63411.8
12,66435.75
13,66723.02
14,66723.02
15,65586.65
16,64212.57
17,66435.75
18,68796.0
19,80294.42
20,66867.48
21,69101.3
22,65867.58
23,71631.49
24,65307.78
25,66150.61
26,70663.95
27,72622.48
28,66435.75
29,66008.82
30,66435.75
31,73981.77
32,68192.39
33,68192.39
34,71468.63
35,70346.52
36,72123.99
37,75386.48
38,126408.34
39,99101.66
40,536008.31
41,94632.04
42,68042.94
43,68042.94
44,226638.0
45,291051.47
46,103337.61
47,136160.72
48,180386.63
49,164172.88
50,193656.09
51,204325.27
52,188709.95
53,206594.58
54,193656.09
55,195704.14
56,189679.88
57,190659.31
58,195704.14
59,193656.09
60,207747.34
61,206594.58
62,206594.58
63,196743.69
64,181276.86
65,196743.69
66,212483.69
67,236622.0
68,210090.06
69,216173.34
70,197793.8
71,216173.34
72,188709.95
73,204325.27
74,211280.41
75,213700.14
76,195704.14
77,194675.0
78,197793.8
79,225277.3
80,212483.69
81,212483.69
82,213700.14
83,208912.44
84,217430.56
85,223932.14
86,247485.06
87,284551.28
88,191648.39
89,191648.39
90,213700.14
91,213700.14
92,558763.94
93,640033.69
94,217430.56
95,339960.47
96,85352.86
97,91765.55
98,91512.71
99,96820.16
100,89534.38
101,96820.16
102,91261.14
103,92789.56
104,86707.14
105,89777.44
106,91765.55
107,89534.38
108,93571.2
109,93048.8
110,94364.8
111,92531.65
112,85352.86
113,94098.91
114,96820.16
115,109992.31
116,97100.13
117,99687.32
118,90021.7
119,99982.53
120,90513.82
121,94632.04
122,99393.72
123,102402.48
124,94632.04
125,94098.91
126,97381.57
127,106903.57
128,101482.63
129,101482.63
130,103337.61
131,99687.32
132,104288.4
133,107915.35
134,126864.97
135,139911.63
136,708471.5
137,96820.16
138,100877.71
139,100877.71
140,293282.41
141,358884.03
142,135640.13
143,173552.13
144,54176.42
145,61109.78
146,50918.22
147,53975.16
148,47161.71
149,48980.34
150,47001.92
151,47403.09
152,44561.25
153,46216.13
154,45602.89
155,43840.75
156,46606.3
157,46684.98
158,45907.83
159,46216.13
160,31248.74
161,44854.87
162,48641.14
163,50827.38
164,48725.57
165,49670.62
166,45301.25
167,51284.3
168,46138.74
169,48473.0
170,50918.22
171,52029.78
172,48980.34
173,48305.81
174,49758.04
175,54994.24
176,793012.25
177,51009.33
178,52600.88
179,51284.3
180,53975.16
181,56153.31
182,78725.33
183,73981.77
184,395419.56
185,59416.6
186,50918.22
187,50918.22
188,167191.02
189,211280.41
190,76838.91
191,96820.16
192,57577.48
193,64077.9
194,52218.99
195,55201.96
196,48980.34
197,50199.01
198,48139.58
199,48641.14
200,44634.36
201,47001.92
202,40380.55
203,42522.82
204,42863.36
205,40756.99
206,46293.73
207,45376.36
208,35134.67
209,45678.82
210,51009.33
211,49933.65
212,50021.84
213,51100.71
214,49496.55
215,53182.58
216,49670.62
217,50466.71
218,53975.16
219,54787.84
220,51284.3
221,50021.84
222,51100.71
223,56476.62
224,861364.44
225,52504.97
226,54378.94
227,53182.58
228,55201.96
229,57802.03
230,99687.32
231,76106.58
232,421032.91
233,74678.3
234,52029.78
235,52029.78
236,176056.81
237,233684.53
238,86251.47
239,105255.28
240,37392.4
241,42590.57
242,33127.38
243,35034.87
244,31206.99
245,31928.39
246,30189.96
247,30309.35
248,25276.9
249,29297.52
250,26544.65
251,25647.93
252,28299.01
253,28227.06
254,30229.68
255,28480.09
256,28996.3
257,30753.24
258,31628.31
259,36901.41
260,31713.61
261,32276.66
262,29221.78
263,33403.16
264,29526.5
265,31290.57
266,33682.49
267,34204.0
268,32586.16
269,31458.76
270,32765.05
271,35949.24
272,558763.94
273,33588.98
274,34935.51
275,34156.08
276,35640.36
277,37558.35
278,64483.38
279,49845.72
280,280371.47
281,45907.83
282,33403.16
283,33403.16
284,119086.36
285,157058.67
286,56693.92
287,65867.58
288,57577.48
289,65307.78
290,50287.98
291,53182.58
292,48305.81
293,49065.75
294,45226.35
295,46061.56
296,35742.86
297,43983.32
298,46843.01
299,45602.89
300,47646.51
301,47646.51
302,49496.55
303,47322.41
304,48810.25
305,49670.62
306,51468.98
307,60132.29
308,50377.22
309,51468.98
310,47484.0
311,52029.78
312,46684.98
313,48980.34
314,52029.78
315,52600.88
316,50021.84
317,48473.0
318,50556.48
319,54787.84
320,793012.25
321,52124.24
322,54277.52
323,52987.48
324,54994.24
325,57577.48
326,96820.16
327,74854.26
328,391443.63
329,67012.48
330,52029.78
331,52029.78
332,168739.63
333,229407.17
334,87631.56
335,93048.8
336,52029.78
337,59416.6
338,44707.67
339,48222.58
340,42590.57
341,43557.83
342,40380.55
343,40318.35
344,38870.21
345,40630.89
346,42320.58
347,41788.82
348,41332.29
349,42726.61
350,41526.96
351,38578.92
352,43277.87
353,42863.36
354,44415.61
355,53182.58
356,43911.94
357,44634.36
358,41332.29
359,44707.67
360,40194.41
361,43347.59
362,45984.59
363,45754.95
364,44634.36
365,42726.61
366,45151.65
367,48810.25
368,734602.25
369,46371.55
370,48222.58
371,47322.41
372,48980.34
373,51468.98
374,79896.98
375,66435.75
376,358884.03
377,54787.84
378,46216.13
379,46216.13
380,152414.69
381,204325.27
382,78533.01
383,82335.49
384,76838.91
385,85800.06
386,64483.38
387,67894.05
388,63411.8
389,64483.38
390,61358.41
391,59298.73
392,60132.29
393,61860.94
394,64756.17
395,63943.71
396,64347.73
397,64483.38
398,63544.07
399,61860.94
400,66150.61
401,64756.17
402,68796.0
403,80695.41
404,66867.48
405,68493.05
406,64619.52
407,68796.0
408,63148.7
409,65867.58
410,70663.95
411,70663.95
412,67597.96
413,65586.65
414,67894.05
415,73981.77
416,70663.95
417,70663.95
418,72622.48
419,71631.49
420,73637.78
421,76654.66
422,112877.99
423,98522.22
424,483368.97
425,63544.07
426,70346.52
427,70346.52
428,210090.06
429,280371.47
430,111418.03
431,107238.9
432,62114.86
433,70983.91
434,50466.71
435,55939.52
436,48556.95
437,49583.45
438,49496.55
439,45907.83
440,48641.14
441,49151.41
442,51841.71
443,51100.71
444,52218.99
445,52600.88
446,52029.78
447,51100.71
448,52987.48
449,52029.78
450,52409.35
451,64212.57
452,52409.35
453,52793.59
454,48810.25
455,50110.29
456,47484.0
457,50199.01
458,54787.84
459,54075.63
460,53182.58
461,51284.3
462,53182.58
463,57802.03
464,861364.44
465,54994.24
466,56693.92
467,56046.25
468,57802.03
469,60617.66
470,98522.22
471,78918.48
472,395419.56
473,58484.71
474,54994.24
475,54994.24
476,175214.38
477,235144.47
478,90513.82
479,95170.63
480,30150.32
481,35034.87
482,20510.75
483,26283.89
484,21602.34
485,19028.03
486,22987.37
487,20533.68
488,21213.94
489,22721.83
490,24498.84
491,23642.52
492,25215.81
493,25154.93
494,25585.55
495,24853.65
496,25710.52
497,25215.81
498,26577.51
499,32765.05
500,25710.52
501,26381.24
502,24469.6
503,26676.44
504,24469.6
505,24295.17
506,26742.69
507,26909.36
508,25616.71
509,24853.65
510,25585.55
511,28155.37
512,439984.91
513,26283.89
514,27660.98
515,26875.9
516,28191.18
517,29603.42
518,56153.31
519,40505.41
520,226638.0
521,38463.37
522,26154.89
523,26154.89
524,99101.66
525,134100.34
526,48980.34
527,57577.48
528,32855.06
529,38233.91
530,23366.42
531,28847.41
532,24616.31
533,25033.8
534,24557.47
535,22933.92
536,22564.54
537,23284.46
538,26219.28
539,25585.55
540,26875.9
541,26154.89
542,27522.06
543,26676.44
544,27626.15
545,26909.36
546,28263.01
547,34836.58
548,27179.19
549,28227.06
550,25033.8
