Sensor_ID,Baseline_Resistance_Ohms
0,22616.81
1,37781.43
2,59181.26
3,57577.48
4,45151.65
5,61608.8
6,62242.49
7,61608.8
8,61860.94
9,62114.86
10,64483.38
11,63943.71
12,66723.02
13,66723.02
14,66723.02
15,65867.58
16,64483.38
17,66435.75
18,66579.13
19,82127.26
20,67597.96
21,68192.39
22,66008.82
23,73296.59
24,65586.65
25,66435.75
26,71306.41
27,72789.98
28,66579.13
29,65867.58
30,67304.12
31,74503.1
32,942433.13
33,70663.95
34,74328.61
35,72622.48
36,73981.77
37,102094.18
38,138820.45
39,105255.28
40,379970.25
41,93571.2
42,70346.52
43,70346.52
44,194675.0
45,455329.53
46,187749.41
47,165668.98
48,166426.73
49,134609.98
50,184922.63
51,193656.09
52,177764.91
53,191648.39
54,183998.22
55,185855.86
56,178630.77
57,182175.47
58,183082.55
59,179504.63
60,189679.88
61,183998.22
62,185855.86
63,182175.47
64,170315.53
65,189679.88
66,195704.14
67,226638.0
68,194675.0
69,197793.8
70,187749.41
71,206594.58
72,180386.63
73,190659.31
74,197793.8
75,208912.44
76,185855.86
77,184922.63
78,193656.09
79,213700.14
80,206594.58
81,206594.58
82,212483.69
83,208912.44
84,213700.14
85,272357.75
86,276308.56
87,282446.44
88,988899.38
89,171919.44
90,206594.58
91,206594.58
92,466154.09
93,793012.25
94,255849.03
95,376290.09
96,104608.9
97,109992.31
98,113621.23
99,121579.19
100,107915.35
101,114373.48
102,109992.31
103,110700.96
104,103652.78
105,107915.35
106,108256.51
107,103969.71
108,110345.59
109,108944.77
110,112143.66
111,109641.09
112,101787.58
113,110700.96
114,114373.48
115,132592.78
116,115519.18
117,116294.76
118,110700.96
119,122004.03
120,107915.35
121,113248.5
122,119086.36
123,122431.63
124,112509.73
125,112509.73
126,115905.77
127,127787.46
128,122431.63
129,122431.63
130,128722.46
131,125504.14
132,128253.38
133,167191.02
134,166426.73
135,174379.52
136,684112.31
137,104931.19
138,121579.19
139,121579.19
140,312394.69
141,583498.19
142,241163.34
143,239631.09
144,52124.24
145,58484.71
146,50287.98
147,55201.96
148,47322.41
149,48980.34
150,46843.01
151,47161.71
152,43840.75
153,46061.56
154,44707.67
155,41526.96
156,46138.74
157,45907.83
158,45602.89
159,45907.83
160,32232.81
161,44707.67
162,47484.0
163,51748.12
164,48980.34
165,48980.34
166,45907.83
167,51841.71
168,45907.83
169,48473.0
170,51009.33
