Sensor_ID,Baseline_Resistance_Ohms
0,17090.95
1,54787.84
2,70346.52
3,84035.92
4,47322.41
5,70663.95
6,70983.91
7,68796.0
8,71306.41
9,70663.95
10,74154.84
11,73296.59
12,78533.01
13,77209.76
14,76838.91
15,76106.58
16,73296.59
17,76471.19
18,79503.01
19,90021.7
20,77961.02
21,80294.42
22,76288.51
23,84035.92
24,76471.19
25,76471.19
26,82754.82
27,85800.06
28,77023.94
29,76471.19
30,78341.52
31,85352.86
32,77583.78
33,77583.78
34,82965.91
35,80294.42
36,84035.92
37,83390.98
38,235144.47
39,145026.52
40,521823.06
41,191648.39
42,81508.11
43,81508.11
44,293282.41
45,435092.38
46,176906.95
47,178630.77
48,195704.14
49,191648.39
50,180386.63
51,214929.95
52,170315.53
53,182175.47
54,168739.63
55,169524.13
56,158434.67
57,164172.88
58,165668.98
59,158434.67
60,176906.95
61,166426.73
62,170315.53
63,167191.02
64,151772.23
65,168739.63
66,180386.63
67,194675.0
68,178630.77
69,183082.55
70,168739.63
71,183998.22
72,170315.53
73,176906.95
74,185855.86
75,195704.14
76,175214.38
77,175214.38
78,179504.63
79,194675.0
80,185855.86
81,185855.86
82,191648.39
83,185855.86
84,197793.8
85,193656.09
86,521823.06
87,259348.69
88,988899.38
89,297844.91
90,191648.39
91,191648.39
92,550970.88
93,942433.13
94,226638.0
95,317555.0
96,80695.41
97,103024.17
98,104608.9
99,125056.52
100,97100.13
101,105255.28
102,99687.32
103,99687.32
104,93309.35
105,97664.48
106,99101.66
107,94098.91
108,104288.4
109,99101.66
110,101179.34
111,101482.63
112,90267.15
113,101482.63
114,104608.9
115,115134.95
116,105255.28
117,107915.35
118,98522.22
119,109641.09
120,100279.32
121,103652.78
122,109291.9
123,114753.04
124,103969.71
125,103337.61
126,107238.9
127,115134.95
128,109291.9
129,109291.9
130,114373.48
131,112143.66
132,118276.26
133,115134.95
134,334076.69
135,171113.94
136,721303.56
137,208912.44
138,112509.73
139,112509.73
140,365654.84
141,566776.38
142,187749.41
143,206594.58
144,49583.45
145,54582.74
146,48305.81
147,59298.73
148,43983.32
149,47241.95
150,43769.74
151,43840.75
152,40505.41
153,42726.61
154,41592.18
155,38006.61
156,44854.87
157,42522.82
158,42186.62
159,43277.87
160,29914.1
161,41203.32
162,44854.87
163,46527.84
164,45907.83
165,46449.59
166,42053.34
167,48641.14
168,44415.61
169,45301.25
170,49065.75
171,51284.3
172,46216.13
173,45678.82
174,47646.51
175,51284.3
176,48139.58
177,48139.58
178,50918.22
179,49151.41
180,52600.88
181,51654.79
182,161255.75
183,86251.47
184,339960.47
185,107915.35
186,49496.55
187,49496.55
188,182175.47
189,282446.44
190,99687.32
191,100877.71
192,47161.71
193,49496.55
194,42387.82
195,52697.09
196,38870.21
197,41397.01
198,38006.61
199,38348.37
200,35234.91
201,37558.35
202,34300.16
203,34060.55
204,38695.02
205,36053.13
206,37063.94
207,37613.93
208,28227.06
209,36579.68
210,39403.42
211,41526.96
212,39887.21
213,40505.41
214,34542.39
215,41657.55
216,36157.48
217,38753.28
218,42455.23
219,43911.94
220,40380.55
221,39644.14
222,41657.55
223,44634.36
224,41788.82
225,41788.82
226,44126.66
227,42863.36
228,46061.56
229,45376.36
230,141018.91
231,76838.91
232,309875.0
233,98522.22
234,43277.87
235,43277.87
236,164172.88
237,257587.41
238,93048.8
239,89777.44
240,41332.29
241,42726.61
242,35134.67
243,44561.25
244,33036.22
245,34396.74
246,32014.92
247,31971.61
248,25836.37
249,31416.58
250,28299.01
251,24266.27
252,32145.38
253,29221.78
254,31799.26
255,31123.74
256,30071.27
257,32364.63
258,34445.18
259,38578.92
260,34252.03
261,35134.67
262,31501.02
263,36686.43
264,32945.45
265,33682.49
266,37009.64
267,38348.37
268,34935.51
269,33870.7
270,35845.82
271,37950.12
272,36262.32
273,36262.32
274,38463.37
275,37337.34
276,40132.67
277,39403.42
278,123731.21
279,66150.61
280,317555.0
281,90021.7
282,37009.64
283,37009.64
284,150502.45
285,226638.0
286,81508.11
287,76471.19
288,59181.26
289,60132.29
290,48810.25
291,62499.11
292,46527.84
293,48305.81
294,43911.94
295,44707.67
296,35034.87
297,42522.82
298,45301.25
299,42794.9
300,47484.0
301,46061.56
302,47001.92
303,46138.74
304,46138.74
305,47322.41
306,49845.72
307,56693.92
308,49065.75
309,50377.22
310,46138.74
311,51841.71
312,47322.41
313,48139.58
314,51841.71
315,53477.48
316,48810.25
317,47484.0
318,49670.62
319,52793.59
320,50918.22
321,50918.22
322,54277.52
323,52697.09
324,56046.25
325,54994.24
326,162702.02
327,91010.8
328,403612.41
329,122004.03
330,51841.71
331,51841.71
332,195704.14
333,302546.75
334,109992.31
335,102402.48
336,52987.48
337,53378.87
338,42522.82
339,54890.87
340,40756.99
341,41397.01
342,38405.8
343,38348.37
344,36053.13
345,38636.91
346,40505.41
347,39224.4
348,41397.01
349,40820.27
350,39765.37
351,38811.68
352,40693.86
353,41332.29
354,42932.0
355,50110.29
356,42658.5
357,43983.32
358,40194.41
359,44854.87
360,41267.73
361,41920.75
362,45754.95
363,47081.7
364,43417.48
365,41723.1
366,43698.91
367,46527.84
368,44854.87
369,44854.87
370,47322.41
371,46138.74
372,49583.45
373,48810.25
374,151772.23
375,76106.58
376,372678.72
377,92531.65
378,45831.29
379,45831.29
380,173552.13
381,264774.34
382,94900.64
383,86025.24
384,79112.48
385,79307.3
386,62114.86
387,79503.01
388,60374.14
389,60374.14
390,58141.67
391,56912.64
392,56476.62
393,58599.84
394,61734.65
395,59892.09
396,63280.01
397,62114.86
398,59892.09
399,60132.29
400,62370.57
401,61860.94
402,65867.58
403,75745.02
404,64347.73
405,66150.61
406,62114.86
407,68042.94
408,61987.67
409,63280.01
410,68192.39
411,70663.95
412,64483.38
413,62628.1
414,64619.52
415,68948.35
416,66723.02
417,66723.02
418,71144.84
419,68644.23
420,73637.78
421,72622.48
422,212483.69
423,111418.03
424,521823.06
425,102712.45
426,67894.05
427,67894.05
428,226638.0
429,376290.09
430,129670.22
431,101482.63
432,73296.59
433,72789.98
434,54378.94
435,72958.16
436,53182.58
437,51654.79
438,54075.63
439,50377.22
440,51841.71
441,53378.87
442,56585.1
443,55097.93
444,58028.08
445,56912.64
446,56260.74
447,56046.25
448,57577.48
449,56585.1
450,58141.67
451,68192.39
452,58028.08
453,59772.61
454,55727.09
455,57354.41
456,54787.84
457,56046.25
458,61860.94
459,62628.1
460,58715.34
461,56803.11
462,58947.51
463,62628.1
464,61233.89
465,61233.89
466,64212.57
467,63148.7
468,66292.91
469,65586.65
470,193656.09
471,110345.59
472,489387.19
473,141018.91
474,62114.86
475,62114.86
476,218701.81
477,346048.91
478,122431.63
479,107576.14
480,33127.38
481,33127.38
482,19707.48
483,31585.79
484,21504.34
485,14805.01
486,23040.99
487,20215.74
488,20741.61
489,22512.45
490,24324.12
491,22987.37
492,25710.52
493,25154.93
494,25647.93
495,25064.0
496,26026.81
497,25585.55
498,26742.69
499,31885.26
500,26026.81
501,26809.18
502,25033.8
503,27695.87
504,25185.35
505,24734.57
506,27765.84
507,28407.46
508,26058.75
509,25094.26
510,26026.81
511,27906.57
512,26709.53
513,26709.53
514,28810.36
515,27800.93
516,30071.27
517,29488.15
518,97948.88
519,55201.96
520,249115.52
521,73127.03
522,27349.84
523,27349.84
524,121157.05
525,171113.94
526,66292.91
527,65867.58
528,37669.63
529,36686.43
530,21900.02
531,34885.99
532,25773.33
