Sensor_ID,Press_Count,Max_Resistance_Change_Ohms,Avg_Resistance_Change_Ohms,Baseline_Resistance_Ohms,Max_Resistance_Ohms,Avg_Resistance_Ohms,Min_Resistance_Ohms
1927,39,387681.06999999995,265584.8451282051,601218.31,988899.38,866803.1551282048,684112.31
1937,39,427429.94,301406.3482051281,515003.19,942433.13,816409.5382051279,661350.38
2034,38,341214.81999999995,247543.19421052618,601218.31,942433.13,848761.5042105264,684112.31
1939,38,437928.5,256340.45894736846,550970.88,988899.38,807311.3389473683,684112.31
1943,37,505530.41000000003,348471.03351351357,483368.97,988899.38,831840.0035135135,536008.31
2113,37,508653.62,221095.54999999993,391443.63,900097.25,612539.18,439984.91
2130,37,566143.04,254590.8283783783,376290.09,942433.13,630880.9183783781,421032.91
2185,37,623244.54,198021.0143243243,365654.84,988899.38,563675.8543243242,421032.91
1959,37,358934.94000000006,295196.17054054054,583498.19,942433.13,878694.3605405403,661350.38
2138,37,540813.88,229833.10648648647,379970.25,920784.13,609803.3564864864,421032.91
2017,36,422123.0,301817.3822222222,566776.38,988899.38,868593.762222222,661350.38
2054,36,267595.81999999995,240061.6958333333,721303.56,988899.38,961365.2558333334,861364.44
1245,36,243809.6299999999,237541.47361111103,721303.56,965113.19,958845.0336111111,843208.31
2152,36,493355.8499999999,305114.3072222222,471757.34,965113.19,776871.6472222223,521823.06
2153,36,493355.8499999999,305114.3072222222,471757.34,965113.19,776871.6472222223,521823.06
2139,36,612609.29,238976.4969444444,376290.09,988899.38,615266.5869444445,435092.38
1951,35,460077.0,321779.36485714285,528822.38,988899.38,850601.7448571428,583498.19
2025,35,437928.5,329696.99457142845,550970.88,988899.38,880667.8745714285,640033.69
2183,35,534598.97,237631.72514285715,407834.16,942433.13,645465.8851428571,450099.75
1212,35,605829.75,243905.7445714286,314954.38,920784.13,558860.1245714286,379970.25
2205,35,601354.5,509998.4751428571,387544.88,988899.38,897543.3551428572,672541.69
2206,35,601354.5,509998.4751428571,387544.88,988899.38,897543.3551428572,672541.69
2207,35,601354.5,509998.4751428571,387544.88,988899.38,897543.3551428572,672541.69
2140,34,434128.22,173444.0852941176,358884.03,793012.25,532328.1152941176,395419.56
2272,33,198335.72000000003,66258.91939393942,291051.47,489387.19,357310.3893939394,322883.13
2146,33,502480.4099999999,210122.78121212116,358884.03,861364.44,569006.8112121212,395419.56
2147,33,374394.81,165473.00848484845,334076.69,708471.5,499549.6984848485,369134.25
2301,33,195887.13,192596.53515151516,793012.25,988899.38,985608.7851515152,880309.75
1160,33,28126.42,16186.209090909095,79112.48,107238.9,95298.6890909091,87631.56
58,33,46519.990000000005,33343.12272727272,119906.74,166426.73,153249.86272727273,132592.78
88,33,509578.15,294079.00606060604,151772.23,661350.38,445851.2360606061,167191.02
1336,32,422123.0,298737.77,566776.38,988899.38,865514.15,661350.38
2122,32,517171.72000000003,276350.21906250005,403612.41,920784.13,679962.6290625,444986.13
1923,32,348865.69000000006,198828.17718750003,640033.69,988899.38,838861.8671875,708471.5
1291,32,486879.4,154793.04249999998,79896.98,566776.38,234690.0225,88573.8
2150,32,534598.97,266138.76375000004,407834.16,942433.13,673972.92375,450099.75
1226,32,608356.44,221241.10718750002,334076.69,942433.13,555317.7971874999,369134.25
1942,32,358934.94000000006,168591.28562500005,583498.19,942433.13,752089.475625,650520.19
2141,32,430773.62,207361.4765625,362238.63,793012.25,569600.1065625,412143.03
1953,32,405401.19000000006,295716.4403125001,583498.19,988899.38,879214.6303125,661350.38
116,32,37121.130000000005,18982.414062500004,84035.92,121157.05,103018.33406250001,94632.04
117,32,39241.17999999999,18449.046875,87167.16,126408.34,105616.206875,97948.88
39,32,36542.61,22225.77375,48810.25,85352.86,71036.02375,55097.93
44,32,46427.139999999985,26542.560312499994,87167.16,133594.3,113709.7203125,98522.22
45,32,606250.9,280028.28281249997,142142.66,748393.56,422170.9428125,182175.47
48,32,43412.82000000001,32506.649062500004,104608.9,148021.72,137115.5490625,123295.2
49,32,46457.630000000005,33473.77249999999,107915.35,154372.98,141389.1225,126408.34
50,32,47597.40000000001,28423.70718750001,125954.73,173552.13,154378.4371875,141018.91
52,32,48104.65999999999,28055.1834375,119086.36,167191.02,147141.54343750002,137745.05
