Sensor_ID,Baseline_Resistance_Ohms
0,30590.71
1,38463.37
2,43769.74
3,42320.58
4,35845.82
5,43983.32
6,44126.66
7,44415.61
8,44928.77
9,44126.66
10,45831.29
11,45002.86
12,46293.73
13,47081.7
14,46527.84
15,45984.59
16,45151.65
17,46216.13
18,45984.59
19,46922.36
20,46606.3
21,46061.56
22,48305.81
23,49151.41
24,45301.25
25,46371.55
26,46843.01
27,48305.81
28,47403.09
29,47484.0
30,48473.0
31,51284.3
32,78725.33
33,48641.14
34,51100.71
35,51468.98
36,48389.29
37,48641.14
38,53975.16
39,56912.64
40,87167.16
41,74328.61
42,219987.36
43,49670.62
44,65169.12
45,109641.09
46,60495.69
47,60495.69
48,125056.52
49,121579.19
50,128253.38
51,128722.46
52,121579.19
53,133594.3
54,128722.46
55,132097.22
56,126408.34
57,127787.46
58,130631.02
59,127324.66
60,133091.78
61,133594.3
62,129670.22
63,128722.46
64,125954.73
65,129670.22
66,131116.38
67,128722.46
68,133594.3
69,135123.23
70,137213.13
71,138280.8
72,122431.63
73,127787.46
74,123295.2
75,132592.78
76,132592.78
77,130148.98
78,134609.98
79,141578.7
80,195704.14
81,135640.13
82,139911.63
83,143283.25
84,134609.98
85,133594.3
86,150502.45
87,154372.98
88,211280.41
89,154372.98
90,450099.75
91,138280.8
92,103024.17
93,143283.25
94,142142.66
95,142142.66
96,81919.95
97,82754.82
98,86707.14
99,86251.47
100,83819.96
101,87865.42
102,86025.24
103,86478.77
104,83604.98
105,84909.8
106,86478.77
107,84909.8
108,87631.56
109,87631.56
110,87167.16
111,86251.47
112,82127.26
113,86251.47
114,86707.14
115,84689.81
116,89051.75
117,87631.56
118,90267.15
119,92531.65
120,81919.95
121,86251.47
122,79112.48
123,87631.56
124,89051.75
125,86936.61
126,91010.8
127,96820.16
128,141018.91
129,92019.64
130,97381.57
131,98522.22
132,91010.8
133,91261.14
134,102094.18
135,105581.22
136,155036.28
137,114753.04
138,346048.91
139,93048.8
140,100279.32
141,164917.73
142,107915.35
143,107915.35
144,41526.96
145,41397.01
146,42186.62
147,41920.75
148,41139.08
149,42320.58
150,41139.08
151,41139.08
152,38695.02
153,40505.41
154,39887.21
155,37837.53
156,41139.08
157,41267.73
158,40318.35
159,40630.89
160,32675.42
161,39765.37
162,40132.67
163,36262.32
164,41920.75
165,41267.73
166,42320.58
167,44126.66
168,37447.59
169,39887.21
170,38291.07
171,41139.08
172,42186.62
173,41397.01
174,43347.59
175,45602.89
176,71306.41
177,43417.48
178,45754.95
179,45907.83
180,43417.48
181,43557.83
182,48725.57
183,51192.37
184,79699.56
185,63148.7
186,191648.39
187,43983.32
188,64619.52
189,107915.35
190,56803.11
191,56803.11
192,36793.67
193,35742.86
194,36001.13
195,36001.13
196,35640.36
197,35949.24
198,34836.58
199,34885.99
200,31713.61
201,34060.55
202,31040.83
203,31040.83
204,33588.98
205,32675.42
206,33635.68
207,33870.7
208,25554.44
209,32320.6
210,32630.74
211,23040.99
212,34591.16
213,34445.18
214,35134.67
215,36686.43
216,31971.61
217,33310.84
218,35640.36
219,34640.03
220,35034.87
221,34885.99
222,35845.82
223,37837.53
224,60374.14
225,36053.13
226,37781.43
227,38006.61
228,35897.47
229,35949.24
230,40442.9
231,42794.9
232,68342.44
233,57802.03
234,176906.95
235,36632.99
236,65586.65
237,112509.73
238,50377.22
239,50377.22
240,25585.55
241,24675.34
242,25094.26
243,25064.0
244,24794.01
245,25033.8
246,24237.42
247,24266.27
248,20170.86
249,23782.29
250,21651.57
251,21261.97
252,23366.42
253,22880.64
254,23586.93
255,23698.29
256,21950.17
257,23670.38
258,23094.79
259,20148.47
260,24853.65
261,24675.34
262,24973.54
263,26219.28
264,22460.52
265,23366.42
266,26219.28
267,24557.47
268,25276.9
269,25094.26
270,25836.37
271,27213.2
272,45151.65
273,25773.33
274,27281.39
275,27384.16
276,25710.52
277,26090.74
278,29221.78
279,31290.57
280,51468.98
281,42455.23
282,134609.98
283,26058.75
284,49758.04
285,86251.47
286,37502.91
287,37502.91
288,35234.91
289,34252.03
290,34204.0
291,34396.74
292,33682.49
293,34156.08
294,32232.81
295,31374.49
296,27836.08
297,31458.76
298,32765.05
299,32058.32
300,33495.87
301,33403.16
302,32765.05
303,32058.32
304,33081.75
305,33127.38
306,32945.45
307,33403.16
308,34156.08
309,33588.98
310,33776.39
311,35285.2
312,28921.71
313,32364.63
314,35234.91
315,31713.61
316,34542.39
317,33588.98
318,35184.73
319,36473.41
320,59534.86
321,35084.71
322,36901.41
323,37009.64
324,34885.99
325,35134.67
326,39644.14
327,41526.96
328,67304.12
329,54176.42
330,167961.95
331,34738.09
332,64756.17
333,110700.96
334,50110.29
335,50110.29
336,29488.15
337,28699.64
338,28407.46
339,28773.39
340,28263.01
341,28553.0
342,27626.15
343,26413.8
344,26577.51
345,27145.25
346,27906.57
347,27765.84
348,27626.15
349,28119.63
350,24794.01
351,24498.84
352,27871.29
353,27010.09
354,28263.01
355,28996.3
356,28480.09
357,28847.41
358,28407.46
359,29992.53
360,23067.87
361,26842.51
362,28699.64
363,22933.92
364,28480.09
365,27556.69
366,29297.52
367,30550.28
368,51100.71
369,29033.7
370,30309.35
371,30550.28
372,28407.46
373,28736.48
374,33218.91
375,34252.03
376,58028.08
377,45301.25
378,151772.23
379,27213.2
380,56912.64
381,99687.32
382,42726.61
383,42726.61
384,30794.08
385,29564.92
386,29184.02
387,29564.92
388,29297.52
389,29449.88
390,29108.72
391,28335.09
392,28847.41
393,28958.97
394,29221.78
395,29146.33
396,28996.3
397,29526.5
398,25804.82
399,26610.43
400,28773.39
401,26775.9
402,29526.5
403,30794.08
404,30071.27
405,30550.28
406,29680.64
407,31458.76
408,25154.93
409,28773.39
410,30590.71
411,26544.65
412,29680.64
413,29146.33
414,30671.81
415,32058.32
416,52218.99
417,30349.31
418,30958.25
419,31543.36
420,27591.39
421,28921.71
422,34738.09
423,34396.74
424,59892.09
425,41920.75
426,145026.52
427,27660.98
428,58028.08
429,94364.8
430,44707.67
431,44707.67
432,28191.18
433,27213.2
434,26090.74
435,26809.18
436,25710.52
437,26122.79
438,26577.51
439,25523.39
440,26544.65
441,26544.65
442,26875.9
443,26610.43
444,26875.9
445,27281.39
446,25523.39
447,25836.37
448,26283.89
449,24557.47
450,27010.09
451,28191.18
452,27281.39
453,27765.84
454,26283.89
455,28407.46
456,22357.16
457,25963.11
458,27556.69
459,25215.81
460,27145.25
461,26544.65
462,27765.84
463,28921.71
464,48305.81
465,27315.59
466,26283.89
467,27906.57
468,25585.55
469,26283.89
470,31756.39
471,32586.16
472,55621.39
473,42320.58
474,138820.45
475,24382.16
476,54787.84
477,89534.38
478,41139.08
479,41139.08
480,25585.55
481,24645.8
482,21602.34
483,23642.52
484,22512.45
485,20510.75
486,23810.38
487,21651.57
488,22460.52
489,23810.38
490,23810.38
491,22880.64
492,24498.84
493,24498.84
494,24498.84
495,23698.29
496,25094.26
497,24208.61
498,24973.54
499,26479.11
500,25064.0
501,25710.52
502,23670.38
503,26026.81
504,23754.24
505,24498.84
506,26875.9
507,24913.49
508,25215.81
509,24151.15
510,25523.39
511,26348.73
512,45151.65
513,25215.81
514,26842.51
515,26348.73
516,25461.45
517,25679.2
518,29914.1
519,31374.49
520,52029.78
521,45002.86
522,136685.03
523,25094.26
524,52600.88
525,86478.77
526,38348.37
527,38348.37
528,28553.0
529,27626.15
530,24853.65
531,27077.54
532,26875.9
533,26413.8
534,26676.44
535,25773.33
536,24616.31
537,26090.74
538,26742.69
539,25994.93
540,27315.59
541,27145.25
542,27349.84
543,26610.43
544,28191.18
545,27077.54
546,27836.08
547,29297.52
548,27800.93
549,28516.51
550,25064.0
551,28119.63
552,26090.74
553,27043.79
554,29071.17
555,27384.16
556,27281.39
557,25523.39
558,27281.39
559,26742.69
560,48641.14
561,26577.51
562,28480.09
563,25647.93
564,27695.87
565,27384.16
566,32586.16
567,33588.98
568,56260.74
569,48725.57
570,145026.52
571,25773.33
572,56476.62
573,91512.71
574,41267.73
575,41267.73
576,24237.42
577,23014.16
578,22960.62
579,23366.42
580,23202.91
581,23094.79
582,22408.76
583,22408.76
584,21900.02
585,21553.27
586,22203.33
587,22408.76
588,22721.83
589,21676.24
590,22960.62
591,22408.76
592,23754.24
593,22590.65
594,23202.91
595,24734.57
596,22669.24
597,23726.24
598,15331.81
599,21213.94
600,22434.62
601,22721.83
602,23754.24
603,23230.05
604,21651.57
605,19534.67
606,20396.61
607,15603.64
608,40380.55
609,19491.78
610,23642.52
611,21213.94
612,23040.99
613,22907.26
614,27077.54
615,27836.08
616,47322.41
617,41397.01
618,126864.97
619,20081.49
620,49151.41
621,80294.42
622,35285.2
623,35285.2
624,23257.23
625,22126.97
626,22880.64
627,22774.6
628,22880.64
629,22960.62
630,21975.31
631,22126.97
632,21900.02
633,21118.33
634,21406.95
635,21553.27
636,21700.95
637,21358.47
638,21700.95
639,20881.81
640,22933.92
641,20858.36
642,22907.26
643,24208.61
644,22460.52
645,23421.27
646,20952.39
647,22669.24
648,22460.52
649,22774.6
650,24093.88
651,23311.73
652,21553.27
653,18781.14
654,22228.87
655,19028.03
656,36579.68
657,21189.98
658,22357.16
659,21651.57
660,22880.64
661,22512.45
662,26709.53
663,27349.84
664,45077.16
665,39224.4
666,125954.73
667,19491.78
668,47484.0
669,78341.52
670,34836.58
671,34836.58
672,19794.65
673,18538.4
674,22933.92
675,22382.94
676,23040.99
677,23339.05
678,21651.57
679,21900.02
680,22880.64
681,21166.06
682,22460.52
683,22512.45
684,21023.29
685,22357.16
686,22512.45
687,21406.95
688,23754.24
689,22590.65
690,23040.99
691,24853.65
692,20648.86
693,23175.81
694,23040.99
695,22305.72
696,23559.21
697,23670.38
698,25710.52
699,24586.87
700,23230.05
701,22408.76
702,24093.88
703,24586.87
704,42186.62
705,23866.7
706,23894.93
707,24734.57
708,23614.7
709,22827.54
710,27418.54
711,27765.84
712,48725.57
713,42726.61
714,130631.02
715,23866.7
716,50110.29
717,83177.96
718,36686.43
719,36686.43
720,20396.61
721,19491.78
722,25154.93
723,24586.87
724,25307.53
725,25836.37
726,23642.52
727,23754.24
728,25585.55
729,23923.21
730,24794.01
731,25094.26
732,24036.8
733,25276.9
734,24883.55
735,22774.6
736,26219.28
737,25215.81
738,25276.9
739,27418.54
740,22616.81
741,25154.93
742,25836.37
743,23366.42
744,26026.81
745,26026.81
746,28589.56
747,27179.19
748,26544.65
749,26154.89
750,27077.54
751,28263.01
752,46449.59
753,26875.9
754,27977.33
755,28371.24
756,26577.51
757,26709.53
758,30590.71
759,28371.24
760,52890.38
761,46527.84
762,141018.91
763,27213.2
764,52029.78
765,89051.75
766,39765.37
767,39765.37
768,25710.52
769,24645.8
770,25647.93
771,25804.82
772,25185.35
773,25836.37
774,23642.52
775,24382.16
776,25585.55
777,24557.47
778,24853.65
779,25094.26
780,24528.13
781,25461.45
782,23923.21
783,23339.05
784,25154.93
785,24093.88
786,24734.57
787,26676.44
788,20975.98
789,23754.24
790,25836.37
791,25033.8
792,25710.52
793,25523.39
794,27906.57
795,26709.53
796,25773.33
797,25773.33
798,26809.18
799,28335.09
800,47161.71
801,26809.18
802,27626.15
803,27977.33
804,25523.39
805,26610.43
806,30110.76
807,29184.02
808,54582.74
809,47646.51
810,136685.03
811,27145.25
812,54787.84
813,93571.2
814,40380.55
815,40380.55
816,27977.33
817,27077.54
818,25276.9
819,26643.4
820,26090.74
821,26058.75
822,26090.74
823,25585.55
824,27111.36
825,26544.65
826,25679.2
827,26544.65
828,25710.52
829,26090.74
830,23698.29
831,24734.57
832,26154.89
833,24675.34
834,25003.64
835,27556.69
836,22801.05
837,20533.68
838,25773.33
839,26809.18
840,27281.39
841,27349.84
842,30671.81
843,28553.0
844,28263.01
845,28191.18
846,28699.64
847,30309.35
848,50021.84
849,28553.0
850,30189.96
851,30309.35
852,28407.46
853,28773.39
854,32855.06
855,34252.03
856,57802.03
857,51100.71
858,142142.66
859,28996.3
860,58141.67
861,99101.66
862,42186.62
863,42186.62
864,27906.57
865,26942.87
866,25094.26
867,25994.93
868,26544.65
869,26479.11
870,25710.52
871,24704.93
872,26219.28
873,26026.81
874,26090.74
875,26479.11
876,25276.9
877,26251.55
878,24973.54
879,24266.27
880,26909.36
881,25033.8
882,26676.44
883,28407.46
884,22801.05
885,25585.55
886,27349.84
887,27145.25
888,26875.9
889,26676.44
890,30150.32
891,28191.18
892,28227.06
893,27836.08
894,28553.0
895,30389.34
896,49845.72
897,28699.64
898,29449.88
899,29992.53
900,28407.46
901,28699.64
902,32675.42
903,34060.55
904,57689.57
905,50466.71
906,143859.97
907,28921.71
908,57354.41
909,97948.88
910,41788.82
911,41788.82
912,38463.37
913,37118.37
914,35234.91
915,36686.43
916,36901.41
917,36686.43
918,35084.71
919,34836.58
920,36901.41
921,35184.73
922,36526.48
923,36686.43
924,34300.16
925,35794.29
926,32320.6
927,33682.49
928,36001.13
929,35335.6
930,36579.68
931,38006.61
932,35640.36
933,36955.46
934,37118.37
935,37009.64
936,36526.48
937,36847.48
938,40132.67
939,37392.4
940,38120.0
941,37558.35
942,38636.91
943,40883.72
944,64756.17
945,38695.02
946,35640.36
947,36955.46
948,38463.37
949,38463.37
950,43557.83
951,44781.16
952,75925.42
953,66008.82
954,184922.63
955,38463.37
956,71306.41
957,125056.52
958,55201.96
959,55201.96
960,40756.99
961,39343.6
962,38870.21
963,39644.14
964,39523.48
965,39644.14
966,38405.8
967,38578.92
968,38811.68
969,38006.61
970,37893.76
971,38120.0
972,33588.98
973,34935.51
974,35949.24
975,34836.58
976,37502.91
977,37172.92
978,35845.82
979,37893.76
980,36686.43
981,36793.67
982,38405.8
983,39224.4
984,35691.55
985,37558.35
986,38233.91
987,32232.81
988,38521.08
989,37337.34
990,39463.38
991,41920.75
992,66150.61
993,39523.48
994,38006.61
995,36105.25
996,39403.42
997,39165.01
998,43983.32
999,45151.65
1000,77023.94
1001,67012.48
1002,183998.22
1003,37337.34
1004,71144.84
1005,126864.97
1006,55833.13
1007,55833.13
1008,70504.91
1009,66435.75
1010,65726.85
1011,65867.58
1012,65867.58
1013,65867.58
1014,64212.57
1015,65307.78
1016,65307.78
1017,63676.8
1018,63810.02
1019,63676.8
1020,58141.67
1021,57577.48
1022,63676.8
1023,62370.57
1024,63676.8
1025,63676.8
1026,57354.41
1027,62370.57
1028,58484.71
1029,58831.23
1030,65307.78
1031,64483.38
1032,61860.94
1033,63676.8
1034,64483.38
1035,62114.86
1036,64619.52
1037,63411.8
1038,65586.65
1039,70983.91
1040,104931.19
1041,65307.78
1042,61109.78
1043,62114.86
1044,64756.17
1045,62370.57
1046,69101.3
1047,63676.8
1048,121579.19
1049,110700.96
1050,245875.0
1051,64212.57
1052,121579.19
1053,206594.58
1054,90021.7
1055,90021.7
1056,61860.94
1057,59416.6
1058,59181.26
1059,59892.09
1060,59653.54
1061,60132.29
1062,58484.71
1063,58599.84
1064,58715.34
1065,57354.41
1066,58141.67
1067,58255.64
1068,57465.76
1069,57914.87
1070,57689.57
1071,56693.92
1072,57802.03
1073,57577.48
1074,49496.55
1075,56476.62
1076,47081.7
1077,45907.83
1078,57465.76
1079,55201.96
1080,50110.29
1081,55201.96
1082,54176.42
1083,51100.71
1084,56693.92
1085,55833.13
1086,56912.64
1087,61860.94
1088,94900.64
1089,57354.41
1090,56693.92
1091,56693.92
1092,57802.03
1093,56476.62
1094,62242.49
1095,62628.1
1096,109992.31
1097,98811.18
1098,264774.34
1099,55939.52
1100,109992.31
1101,187749.41
1102,83177.96
1103,83177.96
1104,61233.89
1105,58715.34
1106,57802.03
1107,58484.71
1108,58484.71
1109,58599.84
1110,56912.64
1111,58255.64
1112,58484.71
1113,56693.92
1114,57577.48
1115,57465.76
1116,56912.64
1117,57802.03
1118,58255.64
1119,57802.03
1120,56260.74
1121,56912.64
1122,47001.92
1123,46527.84
1124,56260.74
1125,54994.24
1126,58715.34
1127,58715.34
1128,54994.24
1129,56693.92
1130,56693.92
1131,55939.52
1132,54994.24
1133,55727.09
1134,56046.25
1135,62628.1
1136,95170.63
1137,56585.1
1138,55201.96
1139,54582.74
1140,57802.03
1141,55939.52
1142,61358.41
1143,64756.17
1144,109992.31
1145,101482.63
1146,266631.75
1147,56260.74
1148,112877.99
1149,188709.95
1150,83604.98
1151,83604.98
1152,110700.96
1153,107576.14
1154,105255.28
1155,106570.16
1156,105581.22
1157,107238.9
1158,103652.78
1159,105908.98
1160,107238.9
1161,102094.18
1162,105581.22
1163,106903.57
1164,106570.16
1165,107915.35
1166,107915.35
1167,105255.28
1168,108599.64
1169,104608.9
1170,103652.78
1171,109291.9
1172,106903.57
1173,107915.35
1174,107238.9
1175,108944.77
1176,103337.61
1177,102094.18
1178,109291.9
1179,106570.16
1180,94364.8
1181,102094.18
1182,94632.04
1183,109992.31
1184,161255.75
1185,92531.65
1186,90513.82
1187,92019.64
1188,97381.57
1189,86478.77
1190,90021.7
1191,99982.53
1192,182175.47
1193,176056.81
1194,435092.38
1195,85130.81
1196,194675.0
1197,331208.34
1198,144441.03
1199,144441.03
1200,297844.91
1201,284551.28
1202,282446.44
1203,278325.69
1204,268514.44
