Sensor_ID,Baseline_Resistance_Ohms
0,29526.5
1,39165.01
2,54685.13
3,57914.87
4,41920.75
5,56476.62
6,56803.11
7,56046.25
8,57022.54
9,56476.62
10,59653.54
11,58484.71
12,61109.78
13,62757.56
14,60374.14
15,61608.8
16,58831.23
17,59653.54
18,62757.56
19,66723.02
20,61608.8
21,63411.8
22,59892.09
23,63676.8
24,60374.14
25,61109.78
26,64483.38
27,66150.61
28,62370.57
29,60374.14
30,61860.94
31,69101.3
32,63676.8
33,63676.8
34,64483.38
35,66435.75
36,68796.0
37,90267.15
38,144441.03
39,100279.32
40,247485.06
41,87631.56
42,550970.88
43,63148.7
44,157058.67
45,232241.86
46,81713.57
47,107238.9
48,142710.81
49,127787.46
50,167191.02
51,171113.94
52,157743.84
53,174379.52
54,167191.02
55,167191.02
56,162702.02
57,163434.33
58,167191.02
59,164917.73
60,175214.38
61,173552.13
62,169524.13
63,168739.63
64,151772.23
65,168739.63
66,180386.63
67,184922.63
68,176906.95
69,182175.47
70,167191.02
71,177764.91
72,165668.98
73,170315.53
74,178630.77
75,183082.55
76,176056.81
77,168739.63
78,174379.52
79,195704.14
80,182175.47
81,182175.47
82,180386.63
83,167191.02
84,192647.28
85,238117.42
86,247485.06
87,268514.44
88,566776.38
89,183998.22
90,181276.86
91,181276.86
92,302546.75
93,362238.63
94,218701.81
95,247485.06
96,92531.65
97,97381.57
98,96820.16
99,101482.63
100,89534.38
101,97381.57
102,91512.71
103,91765.55
104,87167.16
105,91512.71
106,92531.65
107,90021.7
108,97948.88
109,96541.67
110,94632.04
111,97381.57
112,79503.01
113,94632.04
114,99982.53
115,103337.61
116,99687.32
117,103024.17
118,93309.35
119,99687.32
120,93048.8
121,93834.39
122,98522.22
123,102094.18
124,97948.88
125,93571.2
126,97664.48
127,108599.64
128,101179.34
129,101179.34
130,101482.63
131,96820.16
132,107915.35
133,136685.03
134,132097.22
135,151772.23
136,339960.47
137,107576.14
138,861364.44
139,100279.32
140,195704.14
141,250766.73
142,125056.52
143,143283.25
144,56912.64
145,61608.8
146,56260.74
147,59298.73
148,51841.71
149,55201.96
150,52409.35
151,52409.35
152,49845.72
153,51468.98
154,50377.22
155,49758.04
156,52987.48
157,52504.97
