Sensor_ID,Baseline_Resistance_Ohms
0,21975.31
1,31206.99
2,35794.29
3,33173.1
4,25246.33
5,35034.87
6,36105.25
7,35640.36
8,36793.67
9,35845.82
10,37118.37
11,36686.43
12,37227.6
13,37669.63
14,38521.08
15,37558.35
16,36157.48
17,37447.59
18,37502.91
19,37725.46
20,37337.34
21,37118.37
22,38120.0
23,38578.92
24,37118.37
25,38463.37
26,38811.68
27,39283.93
28,40505.41
29,38463.37
30,38636.91
31,41203.32
32,74678.3
33,38695.02
34,41267.73
35,41397.01
36,38695.02
37,39283.93
38,45002.86
39,47161.71
40,66150.61
41,50199.01
42,40256.3
43,40256.3
44,48305.81
45,91261.14
46,62114.86
47,62114.86
48,84909.8
49,92531.65
50,101179.34
51,96820.16
52,89292.48
53,101787.58
54,102094.18
55,101787.58
56,100279.32
57,99101.66
58,102402.48
59,100279.32
60,102402.48
61,103652.78
62,103652.78
63,101482.63
64,91765.55
65,102094.18
66,102712.45
67,97381.57
68,103337.61
69,101482.63
70,102094.18
71,103337.61
72,94364.8
73,100279.32
74,97381.57
75,101482.63
76,104608.9
77,98811.18
78,102712.45
79,108256.51
80,178630.77
81,103337.61
82,108944.77
83,109992.31
84,104608.9
85,103969.71
86,120737.61
87,123295.2
88,154372.98
89,107915.35
90,107576.14
91,107576.14
92,93309.35
93,132097.22
94,122431.63
95,122431.63
96,75030.93
97,79112.48
98,84689.81
99,82127.26
100,77583.78
101,85352.86
102,85352.86
103,84909.8
104,82965.91
105,83177.96
106,85352.86
107,82544.69
108,84035.92
109,84252.88
110,85352.86
111,82965.91
112,72789.98
113,83604.98
114,84035.92
115,78918.48
116,85800.06
117,85800.06
118,87167.16
119,87631.56
120,79896.98
121,85352.86
122,76106.58
123,84035.92
124,87631.56
125,84035.92
126,88573.8
127,92531.65
128,161255.75
129,87167.16
130,90267.15
131,90513.82
132,87631.56
133,87167.16
134,101482.63
135,103337.61
136,136685.03
137,92019.64
138,89051.75
139,89051.75
140,90513.82
141,153715.0
142,112877.99
143,112877.99
144,42863.36
145,43628.29
146,44854.87
147,44415.61
148,43417.48
149,45077.16
150,44561.25
151,44561.25
152,42932.0
153,43983.32
154,43698.91
155,41920.75
156,43983.32
157,44707.67
158,43840.75
159,43628.29
160,27626.15
161,42320.58
162,42455.23
163,34935.51
164,44707.67
165,43840.75
166,44781.16
167,45754.95
168,39826.22
169,43347.59
170,41397.01
171,43840.75
172,47001.92
173,44126.66
174,46216.13
175,48473.0
176,88812.2
177,46216.13
178,48473.0
179,48389.29
180,46216.13
181,46061.56
182,54075.63
183,55621.39
184,77772.0
185,52793.59
186,46843.01
187,46843.01
188,58715.34
189,114753.04
190,72622.48
191,72622.48
192,32855.06
193,32675.42
194,33127.38
195,32945.45
196,32675.42
197,33127.38
198,32855.06
199,33081.75
200,32145.38
201,32586.16
202,31416.58
203,31040.83
204,31971.61
205,32320.6
206,31756.39
207,31501.02
208,21237.94
209,30958.25
210,30309.35
211,22050.96
212,32675.42
213,32014.92
214,31756.39
215,33081.75
216,26610.43
217,30071.27
218,31040.83
219,30958.25
220,33588.98
221,31628.31
222,33682.49
223,34836.58
224,66867.48
225,33588.98
226,35084.71
227,34985.13
228,33495.87
229,33588.98
230,39765.37
231,40568.07
232,58831.23
233,39165.01
234,33776.39
235,33776.39
236,47161.71
237,98811.18
238,58715.34
239,58715.34
240,29641.99
241,28996.3
242,30071.27
243,29603.42
244,29914.1
245,30189.96
246,30031.86
247,29680.64
248,28773.39
249,29526.5
250,27800.93
251,27730.82
252,28553.0
253,28996.3
254,28662.88
